[19226] སྟོང་པ་དང་ཆོས་ཉིད་རྒྱ་མ་ཆད།
[19227] ལྷུན་གྲུབ་དང་ཀ་དག་རྒྱ་མ་ཆད།
[19228] ཞིང་ཁམས་དང་ལྷུན་གྲུབ་རྒྱ་མ་ཆད།
[19229] ཚོམ་བུ་དང་འཁྲུལ་སྣང་རྒྱ་མ་ཆད།
[19230] སེམས་དང་ཡེ་ཤེས་རྒྱ་མ་ཆད།
[19231] ཡིད་དང་ཤེས་རབ་རྒྱ་མ་ཆད།
[19232] མ་རིག་པ་དང་རིག་པ་རྒྱ་མ་ཆད།
[19233] མ་རིག་པ་དང་རིག་པ་རྒྱ་མ་ཆད།
[19234] སྟོང་པ་དང་གསལ་བ་རྒྱ་མ་ཆད་དོ།
[19235] །དེ་ནི་རྒྱ་མ་ཆད་པ་ནམ་མཁའི་སྐུ་ཞེས་བྱའོ།
[19236] །ཕྱོགས་སུ་མ་ལྷུང་བ་ཉི་ཟླའི་སྐུ་ནི་འཛིན་པ་མེད་པའི་རང་གྲོལ་རྟོག་པ་མད་པའི་རང་སངས།
[19237] འགྱུ་བ་མེད་པའི་རང་དག
[19238] གསལ་བ་མེད་པའི་འཚེར་བ།
[19239] བསྒོམ་པ་མེད་པའི་ཆོས་ཉིད།
[19240] གཟུང་དུ་མེད་པའི་ཡངས་པ།
[19241] སངས་རྒྱས་མེད་པའི་སེམས་ཅན་ནོ།
[19242] །དེ་ནི་ཕྱོགས་སུ་མ་ལྷུང་བ་ཉི་ཟླའི་སྐུའོ།
[19243] །ཐ་མི་དད་པ་ཅིག་ཤོས་ཀྱི་སྐུ་ནི་སྒྲོན་མ་མཁའ་ཁྱབ།
[19244] ཡེ་ཤེས་དབྱིངས་ཁྱབ།
[19245] ཤེས་རབ་ཡུལ་ཁྱབ།
[19246] ཐབས་ཀྱིས་ལམ་ཁྱབ།
[19247] དབང་པོས་སེམས་ཁྱབ།
[19248] དེ་ནི་ཐ་མི་དད་པ་སྒྲོན་མའི་སྐུའོ།
[19249] །ཞེན་མེད་རང་གྲོལ་གྱི་སྐུ་ནི།
[19250] སྣང་བ་ལ་མི་ཞེན།
[19251] སྟོང་པ་ལ་མི་ཆགས།
[19252] མེད་པ་མི་བསྒྲུབ།
[19253] ཡོད་པ་མི་སྤོང༌།
[19254] མེད་པ་ལ་ཞེ་འདོད་མི་བྱེད།
[19255] ཡོད་པ་ལ་མངོན་པར་མི་ཞེན།
[19256] བྱས་པ་མི་བསྒྲུབ།
[19257] བྱུང་བ་མི་འགེགས།
[19258] བྱུང་བ་ལ་སྐྱོན་དུ་མི་ལྟ།
[19259] མ་བྱུང་བ་ལ་ཡོན་ཏན་དུ་མི་སེམས།
[19260] ཉོན་མོངས་མི་སྤོང༌།
[19261] སངས་རྒྱས་མི་བསྒྲུབ།
[19262] སྒོམ་པ་མི་བསྒོམ།
[19263] ལྟ་བ་མི་ལྟ།
[19264] འཁྲུལ་སྣང་མི་འགགས།
[19265] དག་སྣང་མི་འཚོལ།
[19266] སེམས་ལ་སངས་རྒྱས་མི་རེ།
[19267] རིག་པ་ལ་སེམས་ཅན་མི་དོགས།
[19268] །ཀུན་གཞི་ལ་ཆོས་སྐུ་མི་རེ།
[19269] སྒྲོན་མ་ལ་གཟུགས་སྐུར་མི་དོགས།
[19270] ལམ་ལ་སྦྱང་དུ་མེད།
[19271] འབྲས་བུ་ལ་ཐོབ་ཏུ་མེད།
[19272] གཞི་ལ་བཟང་ངན་མེད།
[19273] རྟོགས་དང་མ་རྟོགས་གཉིས་སུ་མེད་པའོ།
[19274] །དེ་ནི་ཞེན་མེད་རང་གྲོལ་གྱི་སྐུའོ་ཞེས་གསུངས་སོ།
[19275] །འདི་དག་རྒྱས་པར་བཤད་ན་གསལ་བ་མཐའ་ཡས་པའི་ཕྱིར་སྤྲོས་པས་ཆོག་གོ
[19276] །གཉིས་པ་ཡེ་ཤེས་ཀྱི་རང་བཞིན་རྒྱས་པར་བཤད་པ་ལ་གཉིས་ཏེ་གཞི་གནས་ཀྱི་ཡེ་ཤེས་དང༌།
[19277] མཚན་ཉིད་འཛིན་པའི་ཡེ་ཤེས་སོ།
[19278] །དང་པོ་ནི་ངོ་བོ་རང་བཞིན་ཐུགས་རྗེ་གསུམ་ལས།
