LITURGICAL LAYER ANALYSIS REPORT
======================================================================

Files needing transformation: 158

02-19-01-01.txt: 105 long lines
02-25-01-01.txt: 101 long lines
01-05-04-01.txt: 77 long lines
02-23-06-01.txt: 68 long lines
01-10-01-01.txt: 50 long lines
01-08-02-01.txt: 41 long lines
02-18-13-01.txt: 39 long lines
01-04-14-01.txt: 38 long lines
01-08-07-01.txt: 34 long lines
01-02-01-05.txt: 30 long lines
01-09-01-01.txt: 30 long lines
02-23-04-01.txt: 30 long lines
02-23-03-02.txt: 29 long lines
02-23-01-01.txt: 28 long lines
01-13-01-01.txt: 25 long lines
01-14-05-01.txt: 25 long lines
02-17-04-01.txt: 25 long lines
01-03-01-01.txt: 24 long lines
02-23-09-01.txt: 24 long lines
01-12-01-01.txt: 21 long lines
02-20-01-01.txt: 21 long lines
02-22-04-01.txt: 20 long lines
01-04-12-01.txt: 19 long lines
01-14-13-01.txt: 19 long lines
02-22-05-01.txt: 19 long lines
01-14-06-01.txt: 18 long lines
01-01-02-01.txt: 17 long lines
01-04-18-02.txt: 17 long lines
02-23-03-01.txt: 16 long lines
02-23-07-01.txt: 16 long lines
01-04-01-01.txt: 15 long lines
01-06-04-01.txt: 15 long lines
01-14-01-01.txt: 15 long lines
01-14-09-01.txt: 14 long lines
01-03-03-01.txt: 13 long lines
01-05-04-06.txt: 13 long lines
01-06-12-01.txt: 13 long lines
01-14-03-01.txt: 13 long lines
02-22-01-01.txt: 13 long lines
02-23-02-01.txt: 13 long lines
01-04-02-01.txt: 12 long lines
02-16-03-01.txt: 12 long lines
02-18-15-01.txt: 12 long lines
02-23-02-02.txt: 12 long lines
01-02-02-01.txt: 11 long lines
01-06-07-03.txt: 11 long lines
02-18-01-01.txt: 11 long lines
02-22-05-02.txt: 11 long lines
02-23-08-03.txt: 11 long lines
01-03-02-01.txt: 10 long lines
01-06-07-01.txt: 10 long lines
01-14-12-01.txt: 10 long lines
02-19-00-01.txt: 10 long lines
01-01-01-01.txt: 9 long lines
01-04-16-01.txt: 9 long lines
01-06-02-01.txt: 9 long lines
01-11-01-01.txt: 9 long lines
02-18-09-01.txt: 9 long lines
02-21-00-01.txt: 9 long lines
02-21-01-01.txt: 9 long lines
02-22-06-01.txt: 9 long lines
01-06-01-01.txt: 8 long lines
01-14-10-01.txt: 8 long lines
02-18-08-01.txt: 8 long lines
02-20-02-01.txt: 8 long lines
02-24-01-01.txt: 8 long lines
01-02-02-02.txt: 7 long lines
01-04-15-01.txt: 7 long lines
01-13-04-01.txt: 7 long lines
01-14-02-01.txt: 7 long lines
01-14-04-01.txt: 7 long lines
02-17-06-01.txt: 7 long lines
02-18-10-01.txt: 7 long lines
02-18-11-01.txt: 7 long lines
02-22-03-03.txt: 7 long lines
01-07-04-01.txt: 6 long lines
01-13-05-01.txt: 6 long lines
02-15-01-01.txt: 6 long lines
02-17-07-01.txt: 6 long lines
02-20-07-01.txt: 6 long lines
02-25-05-01.txt: 6 long lines
01-08-04-02.txt: 5 long lines
01-13-06-01.txt: 5 long lines
02-17-13-01.txt: 5 long lines
02-18-02-01.txt: 5 long lines
02-18-07-01.txt: 5 long lines
02-20-08-01.txt: 5 long lines
