File,Volume,Chapter,Lines,Grade,Status,Coverage_Issues,Format_Issues,Terminology_Issues,Priority,Recommendation
01-01-01-01.txt,1,1,141,A++,Complete,None,None,Excellent,N/A,Use as exemplar
01-02-01-01.txt,1,2,97,A+,Complete,None,None,Good,Low,Minor enhancement
01-04-01-01.txt,1,4,94,A+,Complete,None,None,Excellent,N/A,None needed
01-06-12-01.txt,1,6,20,C,Deficient,Missing dream yoga detail,None,Minimal,Critical,Complete rewrite
01-08-07-01.txt,1,8,20,C,Deficient,Missing trekcho content,None,Minimal,Critical,Complete rewrite
01-09-01-01.txt,1,9,94,A+,Complete,None,None,Excellent,N/A,Use as exemplar
01-10-01-01.txt,1,10,52,A,Good,Minor gaps,None,Good,Low,Minor expansion
01-14-01-01.txt,1,14,20,C,Deficient,Missing rang grol detail,None,Minimal,Critical,Complete rewrite
02-15-01-01.txt,2,15,21,B,Adequate,Could expand,None,Adequate,Medium,Moderate expansion
02-16-01-01.txt,2,16,11,C,Deficient,Missing content,None,Minimal,High,Significant expansion
02-18-01-01.txt,2,18,45,A,Good,Minor gaps,None,Good,Low,Minor enhancement
02-20-01-01.txt,2,20,25,B-,Adequate,Minor gaps,Duplicate line refs,Adequate,High,Fix format + enhance
02-22-01-01.txt,2,22,19,C,Deficient,Missing dbyings content,Duplicates,Minimal,High,Complete rewrite
02-23-03-02.txt,2,23,25,C,Deficient,Missing 'pho ba detail,Malformed tag,Minimal,Critical,Fix format + rewrite
02-24-01-01.txt,2,24,25,C,Deficient,Missing bardo content,None,Garbled text,Critical,Complete rewrite
02-25-01-01.txt,2,25,13,C,Deficient,Missing fruition content,None,Minimal,Critical,Complete rewrite
01-06-05-02.txt,1,6,5,B,Adequate,Short source,None,Adequate,N/A,Appropriate for source
02-23-08-01.txt,2,23,5,C,Deficient,Template language,None,Minimal,Medium,Rewrite
02-17-05-01.txt,2,17,5,C,Deficient,Template language,None,Minimal,Medium,Rewrite
01-04-10-01.txt,1,4,10,B,Adequate,Short source,None,Adequate,N/A,Appropriate for source
02-25-03-01.txt,2,25,11,C,Deficient,Template language,None,Minimal,Medium,Rewrite
02-22-04-01.txt,2,22,12,C,Deficient,Template language,None,Minimal,Medium,Rewrite
01-04-18-01.txt,1,4,14,C,Deficient,Template language,None,Minimal,Medium,Rewrite
01-06-09-01.txt,1,6,19,C,Deficient,Repetitive,None,Minimal,Medium,Rewrite
01-06-10-01.txt,1,6,19,C,Deficient,Repetitive,None,Minimal,Medium,Rewrite
01-13-05-01.txt,1,13,19,C,Deficient,Repetitive,None,Minimal,Medium,Rewrite
01-14-12-01.txt,1,14,19,C,Deficient,Repetitive,None,Minimal,Medium,Rewrite
02-20-07-01.txt,2,20,24,C,Deficient,Template language,None,Minimal,Medium,Rewrite
02-25-06-02.txt,2,25,24,C,Deficient,Template language,None,Minimal,Medium,Rewrite
01-04-15-01.txt,1,4,29,B,Adequate,Adequate,None,Adequate,Low,Minor enhancement
02-21-00-01.txt,2,21,30,B,Adequate,Adequate,None,Adequate,Low,Minor enhancement
01-05-04-06.txt,1,5,52,A-,Good,Good,None,Good,Low,Minor enhancement
01-04-02-01.txt,1,4,65,A-,Good,Good,None,Good,Low,Minor enhancement
01-11-01-01.txt,1,11,66,A,Good,Good,None,Good,N/A,Good model
