[4749] ནམ་མཁའ་སྟོང་པ་ལ་རིག་པ་སྟོང་པ་གཏད་པས།
[4750] ཡུལ་ནམ་མཁའ་དང་མཐུན་པའི་ཉམས་སྟོང་གསལ་འཕྲོ་འདུ་དང་བྲལ་བ་ཕྱལ་ཡས་པ་ཅིག་འཆར་བས།
[4751] དངོས་པོ་མཚན་དང་བྲལ་བའི་དགོས་པ་ཡོད་དེ།
[4752] སེམས་སྡེ་ལས།
[4753] རྣལ་འབྱོར་ནམ་མཁའི་བྱ་ལམ་གནས།
[4754] ཞེས་པ་དང༌།
[4755] སྡུད་པ་ལས།
[4756] དོན་དེ་གང་ཡིན་མན་མཁའ་དག་ལ་བརྟག་པར་གྱིས།
[4757] །ཞེས་པ་དང༌།
[4758] ཡུམ་བར་མ་ལས།
[4759] ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྒོམ་པ་ནི།
[4760] ནམ་མཁའ་རྣལ་འབྱོར་དུ་བྱེད་པའོ་ཞེས་པ་ལ་སོགས་པ་ལུང་དཔག་ཏུ་མེད་དོ།
[4761] །དེའང་ཡུལ་ཕྱི་ནང་འདྲེས་པ་ལས་མཉམ་པ་རིས་མེད་ཀྱི་ལྟ་བ་ཞེས་བྱ།
[4762] དབྱིངས་རིག་གཉིས་མེད་ཀྱི་ལྟ་བ་ཞེས་བྱ།
[4763] དབྱིངས་རིག་འདྲེས་པས་འཁོར་འདས་རོ་མཉམ་ཀྱི་ལྟ་བ་ཞེས་བྱའོ།
[4764] །འདི་ཉིད་བསྟན་བུ་ལས་ཀྱང༌།
[4765] དབྱིངས་དང་རིག་པའི་ལྟ་སྟངས་ནི།
[4766] །སྒྲིབ་བྱེད་བྲལ་བའི་ནམ་མཁའ་ལྟར།
[4767] །ཅེས་གསུངས་སོ།
[4768] །གསུམ་པ་རླུང་རིག་གི་གནད་ནི།
[4769] ཡུལ་དང་སྒོ་གཉིས་འཛོམ་དུས་རླུང་དལ་བ་བསྟེན་པས་རིག་པ་བཙོན་དུ་གཟུང་བ་ཞེས་བྱ་སྟེ།
[4770] དེའང་རླུང་ཅི་ནས་ཀྱང་དལ་བ་ལ་ཕྱིར་རྒྱང་རིང་པོ་འཕེན་ཞིང་ཕྱིར་བཟུང་ལ་གཞག་པ་གནད་ཡིན་ནོ།
[4771] །དེ་ཡང་རླུང་དང་དལ་བས།
[4772] ཕྱིར་རྣལ་འབྱོར་པའི་ཚེ་རྒྱས་པའི་གྲོགས་སུ་འགྲོ་ལ།
[4773] ནང་དུ་རྣམ་པར་རྟོག་པ་ནུབ་པའི་རྐྱེན་བྱེད་ཅིང༌།
[4774] གསང་བར་རིག་པ་མངོན་སུམ་དུ་མཐོང་བའི་ལས་བྱེད།
[4775] ཁོ་ན་ཉིད་དུ་ཟག་བཅས་མི་སྣང་བར་སངས་རྒྱ་བར་བྱེད་པའོ།
[4776] །དེ་སྐད་དུའང་ཐལ་འགྱུར་ལས།
[4777] རླུང་ནི་ཅི་ནས་དལ་བྱ་སྟེ།
[4778] །རབ་ཏུ་འཕང་བ་ལས་བྱུང་བས།
[4779] །ལུས་དང་སེམས་ཀྱི་འབྲེལ་ཆད་དེ།
[4780] །ཁམས་གསུམ་དུ་ཡང་ཟློག་པ་མིན།
[4781] །ཅེས་པ་དང༌།
[4782] རླུང་རིག་དལ་བས་ཡེ་ཤེས་འགྲུབ།
[4783] །རབ་ཏུ་འཕང་བ་ལས་བྱུང་བས།
[4784] །ལུས་དང་སེམས་ཀྱི་འབྲེལ་ཆད་དེ།
[4785] །ཁམས་གསུམ་དུ་ཡང་ཟློག་པ་མིན།
[4786] །ཅེས་པ་དང༌།
[4787] རླུང་རིག་དལ་བས་ཡེ་ཤེས་འགྲུབ།
[4788] །ཅེས་སོ།
[4789] །རིག་པའི་གནད་ལུ་གུ་རྒྱུད་དབྱིངས་ཀྱི་ར་བར་བཞག་ནས་མི་འགུལ་བར་བྱེད་པ་སྟེ།
